BASEBALL

{'id': '2211792', 'name_brief': 'A. A.', 'first_name': 'Albert', 'last_name': 'Abreu', 'position': 'SP', 'age': 22}
{'id': '2821135', 'name_brief': 'J. A.', 'first_name': 'Jorge', 'last_name': 'Alcala', 'position': 'SP', 'age': 22}
{'id': '2211794', 'name_brief': 'S. A.', 'first_name': 'Sandy', 'last_name': 'Alcantara', 'position': 'RP', 'age': 22}
{'id': '2118128', 'name_brief': 'S. A.', 'first_name': 'Sergio', 'last_name': 'Alcantara', 'position': 'SS', 'age': 21}
{'id': '2167469', 'name_brief': 'V. A.', 'first_name': 'Victor', 'last_name': 'Alcantara', 'position': 'RP', 'age': 25}
{'id': '2113509', 'name_brief': 'S. A.', 'first_name': 'Scott', 'last_name': 'Alexander', 'position': 'RP', 'age': 28}
{'id': '2114629', 'name_brief': 'G. A.', 'first_name': 'Gabriel', 'last_name': 'Alfaro', 'position': 'SP', 'age': 34}
{'id': '1846227', 'name_brief': 'J. A.', 'first_name': 'Jorge', 'last_name': 'Alfaro', 'position': 'C', 'age': 24}
{'id': '2797622', 'name_brief': 'G. A.', 'first_name': 'Giovanny', 'last_name': 'Alfonzo', 'position': '2B', 'age': 25}
{'id': '2044547', 'name_brief': 'A. A.', 'first_name': 'Anthony', 'last_name': 'Alford', 'position': 'LF', 'age': 23}
{'id': '2170011', 'name_brief': 'B. A.', 'first_name': 'Brandon', 'last_name': 'Alger', 'position': 'P', 'age': 26}
{'id': '2804218', 'name_brief': 'B. A.', 'first_name': 'Brad', 'last_name': 'Allen', 'position': 'RP', 'age': 29}
{'id': '1953416', 'name_brief': 'C. A.', 'first_name': 'Cody', 'last_name': 'Allen', 'position': 'RP', 'age': 29}
{'id': '2171381', 'name_brief': 'G. A.', 'first_name': 'Greg', 'last_name': 'Allen', 'position': 'CF', 'age': 25}
{'id': '2227980', 'name_brief': 'J. A.', 'first_name': 'Jimmy', 'last_name': 'Allen', 'position': '2B', 'age': 26}
{'id': '2227123', 'name_brief': 'T. A.', 'first_name': 'Trever', 'last_name': 'Allen', 'position': 'OF', 'age': 26}
{'id': '2222106', 'name_brief': 'W. A.', 'first_name': 'Will', 'last_name': 'Allen', 'position': 'C', 'age': 26}
{'id': '1794703', 'name_brief': 'S. A.', 'first_name': 'Stetson', 'last_name': 'Allie', 'position': 'RF', 'age': 27}
{'id': '2044243', 'name_brief': 'B. A.', 'first_name': 'Breland', 'last_name': 'Almadova', 'position': 'OF', 'age': 27}
{'id': '1813191', 'name_brief': 'A. A.', 'first_name': 'Abraham', 'last_name': 'Almonte', 'position': 'RF', 'age': 28}
{'id': '2171829', 'name_brief': 'J. A.', 'first_name': 'Josh', 'last_name': 'Almonte', 'position': 'CF', 'age': 24}
{'id': '2044500', 'name_brief': 'M. A.', 'first_name': 'Miguel', 'last_name': 'Almonte', 'position': 'RP', 'age': 25}
{'id': '2118907', 'name_brief': 'Y. A.', 'first_name': 'Yency', 'last_name': 'Almonte', 'position': 'SP', 'age': 23}
{'id': '2000031', 'name_brief': 'A. A.', 'first_name': 'Albert', 'last_name': 'Almora', 'position': 'CF', 'age': 23}
{'id': '1629156', 'name_brief': 'Y. A.', 'first_name': 'Yonder', 'last_name': 'Alonso', 'position': '1B', 'age': 31}
{'id': '2169865', 'name_brief': 'D. A.', 'first_name': 'Dan', 'last_name': 'Altavilla', 'position': 'RP', 'age': 25}
{'id': '2107840', 'name_brief': 'A. A.', 'first_name': 'Aaron', 'last_name': 'Altherr', 'position': 'LF', 'age': 27}
{'id': '1839905', 'name_brief': 'J. A.', 'first_name': 'Jose', 'last_name': 'Altuve', 'position': '2B', 'age': 27}
{'id': '2663267', 'name_brief': 'C. A.', 'first_name': 'Carlos', 'last_name': 'Alvarado', 'position': 'RP', 'age': 28}
{'id': '2444515', 'name_brief': 'J. A.', 'first_name': 'Jose', 'last_name': 'Alvarado', 'position': 'RP', 'age': 22}
{'id': '2146191', 'name_brief': 'D. A.', 'first_name': 'Dario', 'last_name': 'Alvarez', 'position': 'RP', 'age': 29}
{'id': '2211802', 'name_brief': 'E. A.', 'first_name': 'Eliezer', 'last_name': 'Alvarez', 'position': '2B', 'age': 23}
{'id': '1945280', 'name_brief': 'J. A.', 'first_name': 'Jose', 'last_name': 'Alvarez', 'position': 'RP', 'age': 28}
{'id': '2227176', 'name_brief': 'M. A.', 'first_name': 'Matt', 'last_name': 'Alvarez', 'position': 'RP', 'age': 27}
{'id': '1630071', 'name_brief': 'P. A.', 'first_name': 'Pedro', 'last_name': 'Alvarez', 'position': 'DH', 'age': 31}
{'id': '2821213', 'name_brief': 'A. A.', 'first_name': 'Adbert', 'last_name': 'Alzolay', 'position': 'SP', 'age': 23}
{'id': '2114135', 'name_brief': 'J. A.', 'first_name': 'Japhet', 'last_name': 'Amador', 'position': '1B', 'age': 31}
{'id': '2804019', 'name_brief': 'M. A.', 'first_name': 'Miguel', 'last_name': 'Amaya', 'position': 'C', 'age': 19}
{'id': '2006999', 'name_brief': 'J. A.', 'first_name': 'Jeff', 'last_name': 'Ames', 'position': 'SP', 'age': 27}
{'id': '2167336', 'name_brief': 'B. A.', 'first_name': 'Brian', 'last_name': 'Anderson', 'position': '3B', 'age': 24}
{'id': '2027498', 'name_brief': 'C. A.', 'first_name': 'Chase', 'last_name': 'Anderson', 'position': 'SP', 'age': 30}
{'id': '2066302', 'name_brief': 'C. A.', 'first_name': 'Chris', 'last_name': 'Anderson', 'position': 'SP', 'age': 25}
{'id': '2116982', 'name_brief': 'C. A.', 'first_name': 'Cody', 'last_name': 'Anderson', 'position': 'RP', 'age': 27}
{'id': '2734421', 'name_brief': 'C. A.', 'first_name': 'Cole', 'last_name': 'Anderson', 'position': 'CF', 'age': 21}
{'id': '2443746', 'name_brief': 'D. A.', 'first_name': 'Drew', 'last_name': 'Anderson', 'position': 'RP', 'age': 24}
{'id': '2169786', 'name_brief': 'M. A.', 'first_name': 'Matt', 'last_name': 'Anderson', 'position': 'P', 'age': 26}
{'id': '2066301', 'name_brief': 'T. A.', 'first_name': 'Tim', 'last_name': 'Anderson', 'position': 'SS', 'age': 24}
{'id': '1894636', 'name_brief': 'T. A.', 'first_name': 'Tyler', 'last_name': 'Anderson', 'position': 'SP', 'age': 28}
{'id': '2114451', 'name_brief': 'M. A.', 'first_name': 'Matt', 'last_name': 'Andriese', 'position': 'SP', 'age': 28}
{'id': '1099374', 'name_brief': 'E. A.', 'first_name': 'Elvis', 'last_name': 'Andrus', 'position': 'SS', 'age': 29}
{'id': '2167340', 'name_brief': 'M. A.', 'first_name': 'Miguel', 'last_name': 'Andujar', 'position': '3B', 'age': 23}
{'id': '1741372', 'name_brief': 'D. A.', 'first_name': 'Dean', 'last_name': 'Anna', 'position': 'SS', 'age': 31}
{'id': '2052633', 'name_brief': 'J. A.', 'first_name': 'Jeffry', 'last_name': 'Antigua', 'position': 'RP', 'age': 27}
{'id': '2171301', 'name_brief': 'R. A.', 'first_name': 'Ryan', 'last_name': 'Aper', 'position': 'CF', 'age': 24}
{'id': '2120618', 'name_brief': 'A. A.', 'first_name': 'Andrew', 'last_name': 'Aplin', 'position': 'CF', 'age': 27}
{'id': '2167457', 'name_brief': 'A. A.', 'first_name': 'Aristides', 'last_name': 'Aquino', 'position': 'RF', 'age': 23}
{'id': '2053470', 'name_brief': 'J. A.', 'first_name': 'Jayson', 'last_name': 'Aquino', 'position': 'RP', 'age': 25}
{'id': '2170993', 'name_brief': 'A. A.', 'first_name': 'Armando', 'last_name': 'Araiza', 'position': 'C', 'age': 24}
{'id': '2599645', 'name_brief': 'V. A.', 'first_name': 'Victor', 'last_name': 'Arano', 'position': 'RP', 'age': 23}
{'id': '2211783', 'name_brief': 'P. A.', 'first_name': 'Pedro', 'last_name': 'Araujo', 'position': 'RP', 'age': 24}
{'id': '1758899', 'name_brief': 'C. A.', 'first_name': 'Chris', 'last_name': 'Archer', 'position': 'SP', 'age': 29}
{'id': '2041500', 'name_brief': 'O. A.', 'first_name': 'Orlando', 'last_name': 'Arcia', 'position': 'SS', 'age': 23}
{'id': '2797623', 'name_brief': 'T. A.', 'first_name': 'Taylor', 'last_name': 'Ard', 'position': '1B', 'age': 28}
{'id': '1755142', 'name_brief': 'N. A.', 'first_name': 'Nolan', 'last_name': 'Arenado', 'position': '3B', 'age': 26}
{'id': '1804114', 'name_brief': 'J. A.', 'first_name': 'Junior', 'last_name': 'Arias', 'position': 'SS', 'age': 26}
{'id': '2803769', 'name_brief': 'M. A.', 'first_name': 'Marlon', 'last_name': 'Arias', 'position': 'P', 'age': 33}
{'id': '2220463', 'name_brief': 'M. A.', 'first_name': 'Martires', 'last_name': 'Arias', 'position': 'SP', 'age': 27}
{'id': '2171337', 'name_brief': 'D. A.', 'first_name': 'David', 'last_name': 'Armendariz', 'position': 'LF', 'age': 26}
{'id': '2121144', 'name_brief': 'S. A.', 'first_name': 'Shawn', 'last_name': 'Armstrong', 'position': 'RP', 'age': 27}
{'id': '2914723', 'name_brief': 'R. A.', 'first_name': 'Randy', 'last_name': 'Arozarena', 'position': 'CF', 'age': 23}
{'id': '2731202', 'name_brief': 'D. A.', 'first_name': 'Daniel', 'last_name': 'Arribas', 'position': '3B', 'age': 25}
{'id': '1619229', 'name_brief': 'J. A.', 'first_name': 'Jake', 'last_name': 'Arrieta', 'position': 'SP', 'age': 32}
{'id': '2121169', 'name_brief': 'R. A.', 'first_name': 'Ryan', 'last_name': 'Arrowood', 'position': 'P', 'age': 27}
{'id': '2794806', 'name_brief': 'C. A.', 'first_name': 'Carlos', 'last_name': 'Arroyo', 'position': 'LF', 'age': 24}
{'id': '2066307', 'name_brief': 'C. A.', 'first_name': 'Christian', 'last_name': 'Arroyo', 'position': '3B', 'age': 22}
{'id': '2171391', 'name_brief': 'R. A.', 'first_name': 'Rayder', 'last_name': 'Ascanio', 'position': 'SS', 'age': 22}
{'id': '2039891', 'name_brief': 'C. A.', 'first_name': 'Cody', 'last_name': 'Asche', 'position': '1B', 'age': 27}
{'id': '2780090', 'name_brief': 'B. A.', 'first_name': 'Brett', 'last_name': 'Ash', 'position': 'RP', 'age': 26}
{'id': '2118803', 'name_brief': 'A. A.', 'first_name': 'Alec', 'last_name': 'Asher', 'position': 'RP', 'age': 26}
{'id': '2910632', 'name_brief': 'J. A.', 'first_name': 'Javier', 'last_name': 'Assad', 'position': 'SP', 'age': 20}
{'id': '2228204', 'name_brief': 'J. A.', 'first_name': 'Joseph', 'last_name': 'Astacio', 'position': '3B', 'age': 23}
{'id': '2443485', 'name_brief': 'B. A.', 'first_name': 'Barrett', 'last_name': 'Astin', 'position': 'RP', 'age': 26}
{'id': '2210421', 'name_brief': 'W. A.', 'first_name': 'Willians', 'last_name': 'Astudillo', 'position': 'C', 'age': 26}
{'id': '2169699', 'name_brief': 'C. A.', 'first_name': 'Carlos', 'last_name': 'Asuaje', 'position': '2B', 'age': 26}
{'id': '2227783', 'name_brief': 'L. A.', 'first_name': 'Luis', 'last_name': 'Asuncion', 'position': 'RF', 'age': 21}
{'id': '2226037', 'name_brief': 'M. A.', 'first_name': 'Mike', 'last_name': 'Augliera', 'position': 'RP', 'age': 27}
{'id': '2053471', 'name_brief': 'A. A.', 'first_name': 'Austin', 'last_name': 'Aune', 'position': 'SS', 'age': 24}
{'id': '2171311', 'name_brief': 'B. A.', 'first_name': 'Brett', 'last_name': 'Austin', 'position': 'C', 'age': 25}
{'id': '1947847', 'name_brief': 'T. A.', 'first_name': 'Tyler', 'last_name': 'Austin', 'position': '1B', 'age': 26}
{'id': '1741206', 'name_brief': 'X. A.', 'first_name': 'Xavier', 'last_name': 'Avery', 'position': 'LF', 'age': 28}
{'id': '1660422', 'name_brief': 'A. A.', 'first_name': 'Alex', 'last_name': 'Avila', 'position': 'C', 'age': 31}
{'id': '2228476', 'name_brief': 'A. A.', 'first_name': 'Andres', 'last_name': 'Avila', 'position': 'RP', 'age': 27}
{'id': '1812884', 'name_brief': 'L. A.', 'first_name': 'Luis', 'last_name': 'Avilan', 'position': 'RP', 'age': 28}
{'id': '1707287', 'name_brief': 'J. A.', 'first_name': 'John', 'last_name': 'Axford', 'position': 'RP', 'age': 35}
{'id': '479165', 'name_brief': 'E. A.', 'first_name': 'Erick', 'last_name': 'Aybar', 'position': 'SS', 'age': 34}
{'id': '2222107', 'name_brief': 'J. A.', 'first_name': 'Jose', 'last_name': 'Azocar', 'position': 'RF', 'age': 21}
{'id': '2211761', 'name_brief': 'H. B.', 'first_name': 'Harrison', 'last_name': 'Bader', 'position': 'CF', 'age': 23}
{'id': '1894628', 'name_brief': 'J. B.', 'first_name': 'Javier', 'last_name': 'Baez', 'position': '2B', 'age': 25}
{'id': '2750019', 'name_brief': 'J. B.', 'first_name': 'Jeyner', 'last_name': 'Baez', 'position': 'C', 'age': 22}
{'id': '2910623', 'name_brief': 'M. B.', 'first_name': 'Michel', 'last_name': 'Baez', 'position': 'SP', 'age': 22}
{'id': '1670544', 'name_brief': 'P. B.', 'first_name': 'Pedro', 'last_name': 'Baez', 'position': 'RP', 'age': 30}
{'id': '2443744', 'name_brief': 'S. B.', 'first_name': 'Sandy', 'last_name': 'Baez', 'position': 'RP', 'age': 24}
{'id': '2227127', 'name_brief': 'A. B.', 'first_name': 'Austin', 'last_name': 'Bailey', 'position': 'SS', 'age': 25}
{'id': '583492', 'name_brief': 'H. B.', 'first_name': 'Homer', 'last_name': 'Bailey', 'position': 'SP', 'age': 31}
{'id': '2734288', 'name_brief': 'C. B.', 'first_name': 'Corey', 'last_name': 'Baker', 'position': 'RP', 'age': 28}
{'id': '2210218', 'name_brief': 'D. B.', 'first_name': 'Dylan', 'last_name': 'Baker', 'position': 'SP', 'age': 26}
{'id': '2228460', 'name_brief': 'T. B.', 'first_name': 'Tyler', 'last_name': 'Baker', 'position': 'C', 'age': 25}
{'id': '2226889', 'name_brief': 'T. B.', 'first_name': 'Travis', 'last_name': 'Ballew', 'position': 'RP', 'age': 26}
{'id': '2119661', 'name_brief': 'I. B.', 'first_name': 'Isaac', 'last_name': 'Ballou', 'position': 'LF', 'age': 28}
{'id': '2227751', 'name_brief': 'A. B.', 'first_name': 'Anthony', 'last_name': 'Banda', 'position': 'SP', 'age': 24}
{'id': '1937336', 'name_brief': 'J. B.', 'first_name': 'Jett', 'last_name': 'Bandy', 'position': 'C', 'age': 28}
{'id': '1799265', 'name_brief': 'M. B.', 'first_name': 'Manny', 'last_name': 'Banuelos', 'position': 'SP', 'age': 27}
{'id': '1813270', 'name_brief': 'T. B.', 'first_name': 'Travis', 'last_name': 'Banwart', 'position': 'SP', 'age': 32}
{'id': '2034701', 'name_brief': 'J. B.', 'first_name': 'Johnny', 'last_name': 'Barbato', 'position': 'RP', 'age': 25}
{'id': '2120633', 'name_brief': 'B. B.', 'first_name': 'Blake', 'last_name': 'Barber', 'position': '2B', 'age': 28}
{'id': '2121487', 'name_brief': 'A. B.', 'first_name': 'Aaron', 'last_name': 'Barbosa', 'position': 'CF', 'age': 25}
{'id': '2044244', 'name_brief': 'A. B.', 'first_name': 'Andrew', 'last_name': 'Barbosa', 'position': 'SP', 'age': 30}
{'id': '2052693', 'name_brief': 'L. B.', 'first_name': 'Luke', 'last_name': 'Bard', 'position': 'RP', 'age': 27}
{'id': '2910614', 'name_brief': 'J. B.', 'first_name': 'Jordy', 'last_name': 'Barley', 'position': 'SS', 'age': 18}
{'id': '1947842', 'name_brief': 'S. B.', 'first_name': 'Scott', 'last_name': 'Barlow', 'position': 'SP', 'age': 25}
{'id': '2046041', 'name_brief': 'A. B.', 'first_name': 'Austin', 'last_name': 'Barnes', 'position': 'C', 'age': 28}
{'id': '2044539', 'name_brief': 'B. B.', 'first_name': 'Barrett', 'last_name': 'Barnes', 'position': 'LF', 'age': 26}
{'id': '1740907', 'name_brief': 'B. B.', 'first_name': 'Brandon', 'last_name': 'Barnes', 'position': 'LF', 'age': 31}
{'id': '1963303', 'name_brief': 'D. B.', 'first_name': 'Danny', 'last_name': 'Barnes', 'position': 'RP', 'age': 28}
{'id': '2210103', 'name_brief': 'J. B.', 'first_name': 'Jacob', 'last_name': 'Barnes', 'position': 'RP', 'age': 27}
{'id': '1947821', 'name_brief': 'M. B.', 'first_name': 'Matt', 'last_name': 'Barnes', 'position': 'RP', 'age': 27}
{'id': '1663015', 'name_brief': 'T. B.', 'first_name': 'Tony', 'last_name': 'Barnette', 'position': 'RP', 'age': 34}
{'id': '1803883', 'name_brief': 'T. B.', 'first_name': 'Tucker', 'last_name': 'Barnhart', 'position': 'C', 'age': 27}
{'id': '1732484', 'name_brief': 'S. B.', 'first_name': 'Steven', 'last_name': 'Baron', 'position': 'C', 'age': 27}
{'id': '2186085', 'name_brief': 'K. B.', 'first_name': 'Kyle', 'last_name': 'Barraclough', 'position': 'RP', 'age': 27}
{'id': '2117139', 'name_brief': 'F. B.', 'first_name': 'Franklin', 'last_name': 'Barreto', 'position': 'SS', 'age': 22}
{'id': '2078663', 'name_brief': 'J. B.', 'first_name': 'Jake', 'last_name': 'Barrett', 'position': 'RP', 'age': 26}
{'id': '2797624', 'name_brief': 'K. B.', 'first_name': 'Kyle', 'last_name': 'Barrett', 'position': 'LF', 'age': 24}
{'id': '2898209', 'name_brief': 'J. B.', 'first_name': 'Jaime', 'last_name': 'Barria', 'position': 'SP', 'age': 21}
{'id': '2211774', 'name_brief': 'L. B.', 'first_name': 'Luis Alexander', 'last_name': 'Basabe', 'position': 'CF', 'age': 21}
{'id': '2898234', 'name_brief': 'T. B.', 'first_name': 'Tyler', 'last_name': 'Bashlor', 'position': 'P', 'age': 24}
{'id': '1793606', 'name_brief': 'A. B.', 'first_name': 'Anthony', 'last_name': 'Bass', 'position': 'RP', 'age': 30}
{'id': '2114418', 'name_brief': 'C. B.', 'first_name': 'Chris', 'last_name': 'Bassitt', 'position': 'SP', 'age': 29}
{'id': '2171834', 'name_brief': 'N. B.', 'first_name': 'Nick', 'last_name': 'Basto', 'position': '3B', 'age': 24}
{'id': '1957208', 'name_brief': 'F. B.', 'first_name': 'Frank', 'last_name': 'Batista', 'position': 'RP', 'age': 28}
{'id': '1852623', 'name_brief': 'T. B.', 'first_name': 'Trevor', 'last_name': 'Bauer', 'position': 'SP', 'age': 27}
{'id': '2165918', 'name_brief': 'J. B.', 'first_name': 'Jake', 'last_name': 'Bauers', 'position': 'LF', 'age': 22}
{'id': '2743631', 'name_brief': 'J. B.', 'first_name': 'Jay', 'last_name': 'Baum', 'position': '3B', 'age': 25}
{'id': '1809524', 'name_brief': 'B. B.', 'first_name': 'Buddy', 'last_name': 'Baumann', 'position': 'RP', 'age': 30}
{'id': '2218069', 'name_brief': 'G. B.', 'first_name': 'Gerald', 'last_name': 'Bautista', 'position': '1B', 'age': 23}
{'id': '2898235', 'name_brief': 'G. B.', 'first_name': 'Gerson', 'last_name': 'Bautista', 'position': 'P', 'age': 22}
{'id': '2121210', 'name_brief': 'R. B.', 'first_name': 'Rafael', 'last_name': 'Bautista', 'position': 'RF', 'age': 25}
{'id': '2804234', 'name_brief': 'W. B.', 'first_name': 'Wendolyn', 'last_name': 'Bautista', 'position': 'RP', 'age': 25}
{'id': '2227124', 'name_brief': 'B. B.', 'first_name': 'Brandon', 'last_name': 'Bayardi', 'position': 'RF', 'age': 27}
{'id': '2114645', 'name_brief': 'S. B.', 'first_name': 'Steve', 'last_name': 'Bean', 'position': 'C', 'age': 24}
{'id': '1630072', 'name_brief': 'P. B.', 'first_name': 'Pedro', 'last_name': 'Beato', 'position': 'RP', 'age': 31}
{'id': '2226038', 'name_brief': 'W. B.', 'first_name': 'Wuilmer', 'last_name': 'Becerra', 'position': 'RF', 'age': 23}
{'id': '2836585', 'name_brief': 'A. B.', 'first_name': 'Andrew', 'last_name': 'Bechtold', 'position': '3B', 'age': 21}
{'id': '2044526', 'name_brief': 'C. B.', 'first_name': 'Chris', 'last_name': 'Beck', 'position': 'RP', 'age': 27}
{'id': '2804235', 'name_brief': 'N. B.', 'first_name': 'Nolan', 'last_name': 'Becker', 'position': 'RP', 'age': 26}
{'id': '1663586', 'name_brief': 'T. B.', 'first_name': 'Tim', 'last_name': 'Beckham', 'position': 'SS', 'age': 28}
{'id': '1803544', 'name_brief': 'R. B.', 'first_name': 'Ryan', 'last_name': 'Beckman', 'position': 'RP', 'age': 28}
{'id': '2170063', 'name_brief': 'B. B.', 'first_name': 'Brandon', 'last_name': 'Bednar', 'position': '3B', 'age': 26}
{'id': '1757977', 'name_brief': 'C. B.', 'first_name': 'Cam', 'last_name': 'Bedrosian', 'position': 'RP', 'age': 26}
{'id': '2136389', 'name_brief': 'T. B.', 'first_name': 'Tyler', 'last_name': 'Beede', 'position': 'SP', 'age': 24}
{'id': '2743312', 'name_brief': 'J. B.', 'first_name': 'Jalen', 'last_name': 'Beeks', 'position': 'RP', 'age': 24}
{'id': '2170275', 'name_brief': 'J. B.', 'first_name': 'Johan', 'last_name': 'Belisario', 'position': 'P', 'age': 24}
{'id': '174984', 'name_brief': 'M. B.', 'first_name': 'Matt', 'last_name': 'Belisle', 'position': 'RP', 'age': 37}
{'id': '1915127', 'name_brief': 'J. B.', 'first_name': 'Jeff', 'last_name': 'Beliveau', 'position': 'RP', 'age': 31}
{'id': '2046775', 'name_brief': 'C. B.', 'first_name': 'Chad', 'last_name': 'Bell', 'position': 'RP', 'age': 29}
{'id': '1940495', 'name_brief': 'J. B.', 'first_name': 'Josh', 'last_name': 'Bell', 'position': '1B', 'age': 25}
{'id': '2165919', 'name_brief': 'C. B.', 'first_name': 'Cody', 'last_name': 'Bellinger', 'position': '1B', 'age': 22}
{'id': '1757973', 'name_brief': 'B. B.', 'first_name': 'Brandon', 'last_name': 'Belt', 'position': '1B', 'age': 29}
{'id': '11491', 'name_brief': 'A. B.', 'first_name': 'Adrian', 'last_name': 'Beltre', 'position': '3B', 'age': 39}
{'id': '2739967', 'name_brief': 'A. B.', 'first_name': 'Andy', 'last_name': 'Beltre', 'position': 'RP', 'age': 24}
{'id': '2050172', 'name_brief': 'T. B.', 'first_name': 'Tom', 'last_name': 'Belza', 'position': '2B', 'age': 28}
{'id': '2804236', 'name_brief': 'L. B.', 'first_name': 'Lucas', 'last_name': 'Benenati', 'position': 'RP', 'age': 24}
{'id': '2120238', 'name_brief': 'R. B.', 'first_name': 'Robert', 'last_name': 'Benincasa', 'position': 'P', 'age': 27}
{'id': '2184354', 'name_brief': 'A. B.', 'first_name': 'Andrew', 'last_name': 'Benintendi', 'position': 'LF', 'age': 23}
{'id': '2699268', 'name_brief': 'J. B.', 'first_name': 'Juan', 'last_name': 'Benitez', 'position': 'SP', 'age': 26}
{'id': '2119305', 'name_brief': 'M. B.', 'first_name': 'Michael', 'last_name': 'Benjamin', 'position': '3B', 'age': 26}
{'id': '1926952', 'name_brief': 'R. B.', 'first_name': 'Ramon', 'last_name': 'Benjamin', 'position': 'SP', 'age': 30}
{'id': '2804515', 'name_brief': 'W. B.', 'first_name': 'Wes', 'last_name': 'Benjamin', 'position': 'RP', 'age': 24}
{'id': '2171876', 'name_brief': 'J. B.', 'first_name': 'Joe', 'last_name': 'Bennie', 'position': '2B', 'age': 26}
{'id': '174659', 'name_brief': 'J. B.', 'first_name': 'Joaquin', 'last_name': 'Benoit', 'position': 'RP', 'age': 40}
{'id': '2053472', 'name_brief': 'J. B.', 'first_name': 'Jairo', 'last_name': 'Beras', 'position': 'RF', 'age': 23}
{'id': '1960275', 'name_brief': 'P. B.', 'first_name': 'Parker', 'last_name': 'Berberet', 'position': 'C', 'age': 28}
{'id': '2117265', 'name_brief': 'C. B.', 'first_name': 'Christian', 'last_name': 'Bergman', 'position': 'SP', 'age': 29}
{'id': '2050875', 'name_brief': 'W. B.', 'first_name': 'Wynton', 'last_name': 'Bernard', 'position': 'LF', 'age': 27}
